textkategori,numapr,nummai,numjun,numjul,numaug,numsep,numokt,numnov,numdes,numjan,numfeb,numfeb,numsiste12,numfast,numvariabel,numvariabelmaa,kutt
Sum utgifter,"38,007.79","25,129.74","36,542.80","36,372.06","15,523.48","31,599.42","21,082.91","14,321.74","16,404.38","19,250.90","19,845.48","8,448.06","282,528.76",0,,,
Investeringer og sparing,"-20,000.00",0.00,0.00,0.00,0.00,"-20,000.00",0.00,0.00,0.00,0.00,0.00,0.00,"-40,000.00",0,,,
Buffer,"-20,000.00",,,,,"-20,000.00",,,,,,,"-40,000.00",0,,,
Total investering og sparing,"-20,000.00",0.00,0.00,0.00,0.00,"-20,000.00",0.00,0.00,0.00,0.00,0.00,0.00,"-40,000.00",0,,,
Resultat,"5,143.61",,,,,,,,,,,,"5,143.61",0,,,
,"5,143.61","5,143.61","5,143.61","5,143.61","5,143.61","5,143.61","5,143.61","5,143.61","5,143.61","5,143.61","5,143.61","5,143.61","61,723.32",0,,,
total,,,,,,,,,,,,,0,92714.8,71672.45,108279.51,50269.05
,,,,,,,,,,,,,,,,,
forbruk,,,,,,,,,,,,,,,,forbruk,% bruker
balanse,,,,,,,,,,,,,,,,272666.76,81.5639244
