textname,urlname,urllinkedin,textlinkedin,textType,textDescription
https://www.galvanize.com/campuses/seattle,https://www.galvanize.com/campuses/seattle,https://www.linkedin.com/school/galvanize-it/?originalSubdomain=ph,https://www.linkedin.com/school/galvanize-it/?originalSubdomain=ph,Coworking,
https://hhcoworks.org/,https://hhcoworks.org/,https://www.linkedin.com/company/hing-hay-coworks/,https://www.linkedin.com/company/hing-hay-coworks/,Coworking,
https://impacthubseattle.com/,https://impacthubseattle.com/,https://www.linkedin.com/company/impact-hub-seattle/,https://www.linkedin.com/company/impact-hub-seattle/,Coworking,
http://indieballard.com/,http://indieballard.com/,https://www.linkedin.com/company/indie-ballard-llc/,https://www.linkedin.com/company/indie-ballard-llc/,Coworking,
https://www.orangestudios.com/,https://www.orangestudios.com/,https://www.linkedin.com/company/orange-studios-us/,https://www.linkedin.com/company/orange-studios-us/,Coworking,
https://startupspokane.com/coworking/,https://startupspokane.com/coworking/,https://www.linkedin.com/company/startupspokane/,https://www.linkedin.com/company/startupspokane/,Coworking,
https://www.thepioneercollective.com/,https://www.thepioneercollective.com/,https://www.linkedin.com/company/the-pioneer-collective/,https://www.linkedin.com/company/the-pioneer-collective/,Coworking,
http://www.thinkspace.com,http://www.thinkspace.com,https://www.linkedin.com/company/thinkspace/?originalSubdomain=ph,https://www.linkedin.com/company/thinkspace/?originalSubdomain=ph,Coworking,
https://www.vestlink.io/cowork,https://www.vestlink.io/cowork,,,Coworking,
https://www.wework.com/de-DE/labs,https://www.wework.com/de-DE/labs,,,Coworking,
https://www.atlasworkbase.com/,https://www.atlasworkbase.com/,https://www.linkedin.com/company/atlasworkbase/,https://www.linkedin.com/company/atlasworkbase/,Coworking,
http://www.bullittcenter.org/leasing/,http://www.bullittcenter.org/leasing/,https://www.linkedin.com/company/bullitt-foundation/about/,https://www.linkedin.com/company/bullitt-foundation/about/,Coworking,
http://collectiveagency.co/,http://collectiveagency.co/,https://www.linkedin.com/company/collective-agency/,https://www.linkedin.com/company/collective-agency/,Coworking,
https://www.collectivechemistry.com/,https://www.collectivechemistry.com/,,,Coworking,
https://www.sharedesk.net/spaces/view/10692/columbia-collective/,https://www.sharedesk.net/spaces/view/10692/columbia-collective/,,,Coworking,
https://www.clubcorp.com/Clubs/Columbia-Tower-Club/Business-Services/Work-Spaces,https://www.clubcorp.com/Clubs/Columbia-Tower-Club/Business-Services/Work-Spaces,,,Coworking,
https://www.coterieworklounge.com/,https://www.coterieworklounge.com/,https://www.linkedin.com/company/richmond-sparks-llc/,https://www.linkedin.com/company/richmond-sparks-llc/,Coworking,
http://creativeblueprint.ca/,http://creativeblueprint.ca/,/,/,Coworking,
https://www.desktimeapp.com/fellow,https://www.desktimeapp.com/fellow,https://www.linkedin.com/company/deskpass/,https://www.linkedin.com/company/deskpass/,Coworking,
https://heycolab.com/pac-tower,https://heycolab.com/pac-tower,https://www.linkedin.com/company/colab-shared-workspace/,https://www.linkedin.com/company/colab-shared-workspace/,Coworking,
https://www.industriousoffice.com/seattle,https://www.industriousoffice.com/seattle,https://www.linkedin.com/company/industrioushq/,https://www.linkedin.com/company/industrioushq/,Coworking,
https://www.insparkcoworking.com/,https://www.insparkcoworking.com/,https://www.linkedin.com/company/inspark-coworking/?originalSubdomain=il,https://www.linkedin.com/company/inspark-coworking/?originalSubdomain=il,Coworking,
http://www.interbayworklofts.com/,http://www.interbayworklofts.com/,,,Coworking,
https://makersworkspaces.com/,https://makersworkspaces.com/,https://www.linkedin.com/company/makers-workspace/,https://www.linkedin.com/company/makers-workspace/,Coworking,
http://www.meadowcreekbusinesscenter.com/,http://www.meadowcreekbusinesscenter.com/,,,Coworking,
http://www.nedspace.com,http://www.nedspace.com,,,Coworking,
https://www.facebook.com/nonprofitleaderorg/,https://www.facebook.com/nonprofitleaderorg/,,,Coworking,
https://www.northstaroffices.com/,https://www.northstaroffices.com/,,,Coworking,
https://novelcoworking.com/locations/washington/seattle/pioneer-building/,https://novelcoworking.com/locations/washington/seattle/pioneer-building/,https://www.linkedin.com/company/novel-coworking/,https://www.linkedin.com/company/novel-coworking/,Coworking,
https://leveloffice.com/locations/washington/seattle/pioneer-building/,https://leveloffice.com/locations/washington/seattle/pioneer-building/,https://www.linkedin.com/company/novel-coworking/,https://www.linkedin.com/company/novel-coworking/,Coworking,
http://www.officenomads.com,http://www.officenomads.com,https://www.linkedin.com/company/office-nomads/,https://www.linkedin.com/company/office-nomads/,Coworking,
http://www.officexpats.com,http://www.officexpats.com,,,Coworking,
https://onepiecework.com/locations/Seattle,https://onepiecework.com/locations/Seattle,https://www.linkedin.com/company/onepiece-work/,https://www.linkedin.com/company/onepiece-work/,Coworking,
http://plugandplaynw.com,http://plugandplaynw.com,https://www.linkedin.com/company/plug-&-play-northwest/,https://www.linkedin.com/company/plug-&-play-northwest/,Coworking,
https://www.premierworkspaces.com/washington/seattle-downtown,https://www.premierworkspaces.com/washington/seattle-downtown,https://www.linkedin.com/company/premier-workspaces/,https://www.linkedin.com/company/premier-workspaces/,Coworking,
https://psofficesuites.com/,https://psofficesuites.com/,,,Coworking,
https://www.sparkcommons.com/#/,https://www.sparkcommons.com/#/,https://www.linkedin.com/company/sparkcommons/,https://www.linkedin.com/company/sparkcommons/,Coworking,
http://www.surfincubator.com,http://www.surfincubator.com,https://www.linkedin.com/company/surf-incubator/,https://www.linkedin.com/company/surf-incubator/,Coworking,
https://surgecoworking.com/surge-tacoma/,https://surgecoworking.com/surge-tacoma/,https://www.linkedin.com/company/surgetacoma/,https://www.linkedin.com/company/surgetacoma/,Coworking,
https://www.cloudroomseattle.com/,https://www.cloudroomseattle.com/,https://www.linkedin.com/company/the-cloud-room/,https://www.linkedin.com/company/the-cloud-room/,Coworking,
http://thegelbbldg.com/,http://thegelbbldg.com/,,,Coworking,
https://www.theinccoworking.org/,https://www.theinccoworking.org/,https://www.linkedin.com/company/theinccoworking/,https://www.linkedin.com/company/theinccoworking/,Coworking,
http://theoffice.adasbooks.com/,http://theoffice.adasbooks.com/,,,Coworking,
